url,adress
https://spb.hh.ru/vacancy/30465553,"Фрунзенская, Санкт-Петербург, Киевская улица, 5ФА"
https://spb.hh.ru/vacancy/30471495,"Нарвская, Санкт-Петербург, 1 линия, метро Нарвская"
https://spb.hh.ru/vacancy/30630968,"Санкт-Петербург, Владимирская, "
https://spb.hh.ru/vacancy/30100441,"Петроградская, Санкт-Петербург, Аптекарский проспект, 2"
https://spb.hh.ru/vacancy/30459055,"Обухово, Санкт-Петербург, Запорожская улица, 33"
https://spb.hh.ru/vacancy/30761696,"Санкт-Петербург, Василеостровская, "
https://spb.hh.ru/vacancy/30405453,"Петроградская, Санкт-Петербург, Аптекарский проспект, 2"
https://spb.hh.ru/vacancy/30523714,"Чкаловская, Санкт-Петербург, Большая Разночинная улица, 32"
https://spb.hh.ru/vacancy/30694193,"Площадь Ленина, Санкт-Петербург, Кондратьевский проспект"
https://spb.hh.ru/vacancy/30321997,"Девяткино, Санкт-Петербург, 1 линия, метро Девяткино"
https://spb.hh.ru/vacancy/29224458,"Комендантский проспект, Санкт-Петербург, Комендантский проспект"
https://spb.hh.ru/vacancy/30149583,"Московские ворота, Санкт-Петербург, Заставская улица, 22к2"
https://spb.hh.ru/vacancy/30332176,"Удельная, Санкт-Петербург, улица Аккуратова, 13"
https://spb.hh.ru/vacancy/30369892,"Новочеркасская, Санкт-Петербург, Рижская улица, 5к1"
https://spb.hh.ru/vacancy/24620810,"Бухарестская, Санкт-Петербург, Бухарестская улица, 24к1"
https://spb.hh.ru/vacancy/30332665,"Приморская, Санкт-Петербург, 3 линия, метро Приморская"
https://spb.hh.ru/vacancy/30740502,"Ладожская, Санкт-Петербург, Индустриальный проспект, 31"
https://spb.hh.ru/vacancy/29689292,"Московские ворота, Санкт-Петербург, Цветочная улица, 6"
https://spb.hh.ru/vacancy/29174596,"Фрунзенская, Санкт-Петербург, Киевская улица, 5к4"
https://spb.hh.ru/vacancy/28407603,"Электросила, Санкт-Петербург, Варшавская улица, 2"
https://spb.hh.ru/vacancy/29689413,"Московские ворота, Санкт-Петербург, Цветочная улица, 6"
https://spb.hh.ru/vacancy/29934796,"Санкт-Петербург, Лесная, "
https://spb.hh.ru/vacancy/30712171,"Нарвская, Санкт-Петербург, Лифляндская улица, 6Д"
https://spb.hh.ru/vacancy/30496693,"Балтийская, Санкт-Петербург, Дровяная улица, 9к2Ж"
